Filename,Label,Reason
rwf2000_0000_Fight.avi,Fight,Insufficient Persons (1 < 2)
rwf2000_0001_Fight.avi,Fight,Insufficient Persons (0 < 2)
rwf2000_0002_Fight.avi,Fight,Insufficient Persons (0 < 2)
rwf2000_0008_Fight.avi,Fight,Insufficient Persons (1 < 2)
rwf2000_0009_Fight.avi,Fight,Insufficient Persons (0 < 2)
rwf2000_0022_Fight.avi,Fight,Insufficient Persons (1 < 2)
rwf2000_0023_Fight.avi,Fight,Insufficient Persons (0 < 2)
rwf2000_0024_Fight.avi,Fight,Insufficient Persons (0 < 2)
rwf2000_0026_Fight.avi,Fight,Insufficient Persons (1 < 2)
rwf2000_0030_Fight.avi,Fight,Insufficient Persons (0 < 2)
rwf2000_0031_Fight.avi,Fight,Insufficient Persons (1 < 2)
rwf2000_0032_Fight.avi,Fight,Insufficient Persons (0 < 2)
rwf2000_0033_Fight.avi,Fight,Insufficient Persons (0 < 2)
rwf2000_0035_Fight.avi,Fight,Insufficient Persons (1 < 2)
rwf2000_0038_Fight.avi,Fight,Insufficient Persons (1 < 2)
rwf2000_0039_Fight.avi,Fight,Insufficient Persons (0 < 2)
video_000_Fight.avi,Fight,Insufficient Persons (0 < 2)
video_001_Fight.avi,Fight,Insufficient Persons (0 < 2)
video_002_Fight.avi,Fight,Insufficient Persons (0 < 2)
video_003_Fight.avi,Fight,Insufficient Persons (0 < 2)
video_004_Fight.avi,Fight,Insufficient Persons (0 < 2)
video_005_Fight.avi,Fight,Insufficient Persons (0 < 2)
video_006_Fight.avi,Fight,Insufficient Persons (0 < 2)
video_007_Fight.avi,Fight,Insufficient Persons (0 < 2)
video_008_Fight.avi,Fight,Insufficient Persons (0 < 2)
video_009_Fight.avi,Fight,Insufficient Persons (0 < 2)
video_010_Fight.avi,Fight,Insufficient Persons (0 < 2)
video_011_Fight.avi,Fight,Insufficient Persons (0 < 2)
video_012_Fight.avi,Fight,Insufficient Persons (0 < 2)
video_013_Fight.avi,Fight,Insufficient Persons (0 < 2)
video_014_Fight.avi,Fight,Insufficient Persons (0 < 2)
video_015_Fight.avi,Fight,Insufficient Persons (0 < 2)
video_016_Fight.avi,Fight,Insufficient Persons (0 < 2)
video_017_Fight.avi,Fight,Insufficient Persons (0 < 2)
video_018_Fight.avi,Fight,Insufficient Persons (0 < 2)
video_019_Fight.avi,Fight,Insufficient Persons (0 < 2)
video_020_Fight.avi,Fight,Insufficient Persons (0 < 2)
video_021_Fight.avi,Fight,Insufficient Persons (0 < 2)
video_022_Fight.avi,Fight,Insufficient Persons (0 < 2)
video_023_Fight.avi,Fight,Insufficient Persons (0 < 2)
video_024_Fight.avi,Fight,Insufficient Persons (0 < 2)
video_025_Fight.avi,Fight,Insufficient Persons (0 < 2)
video_026_Fight.avi,Fight,Insufficient Persons (0 < 2)
video_027_Fight.avi,Fight,Insufficient Persons (0 < 2)
video_028_Fight.avi,Fight,Insufficient Persons (0 < 2)
video_029_Fight.avi,Fight,Insufficient Persons (0 < 2)
video_000_NonFight.avi,NonFight,Insufficient Persons (0 < 2)
video_001_NonFight.avi,NonFight,Insufficient Persons (0 < 2)
video_002_NonFight.avi,NonFight,Insufficient Persons (0 < 2)
video_003_NonFight.avi,NonFight,Insufficient Persons (0 < 2)
video_004_NonFight.avi,NonFight,Insufficient Persons (0 < 2)
video_005_NonFight.avi,NonFight,Insufficient Persons (0 < 2)
video_006_NonFight.avi,NonFight,Insufficient Persons (0 < 2)
video_007_NonFight.avi,NonFight,Insufficient Persons (0 < 2)
video_008_NonFight.avi,NonFight,Insufficient Persons (0 < 2)
video_009_NonFight.avi,NonFight,Insufficient Persons (0 < 2)
video_010_NonFight.avi,NonFight,Insufficient Persons (0 < 2)
video_011_NonFight.avi,NonFight,Insufficient Persons (0 < 2)
video_012_NonFight.avi,NonFight,Insufficient Persons (0 < 2)
video_013_NonFight.avi,NonFight,Insufficient Persons (0 < 2)
video_014_NonFight.avi,NonFight,Insufficient Persons (0 < 2)
video_015_NonFight.avi,NonFight,Insufficient Persons (0 < 2)
video_016_NonFight.avi,NonFight,Insufficient Persons (0 < 2)
video_017_NonFight.avi,NonFight,Insufficient Persons (0 < 2)
video_018_NonFight.avi,NonFight,Insufficient Persons (0 < 2)
video_019_NonFight.avi,NonFight,Insufficient Persons (0 < 2)
video_020_NonFight.avi,NonFight,Insufficient Persons (0 < 2)
video_021_NonFight.avi,NonFight,Insufficient Persons (0 < 2)
video_022_NonFight.avi,NonFight,Insufficient Persons (0 < 2)
video_023_NonFight.avi,NonFight,Insufficient Persons (0 < 2)
video_024_NonFight.avi,NonFight,Insufficient Persons (0 < 2)
video_025_NonFight.avi,NonFight,Insufficient Persons (0 < 2)
video_026_NonFight.avi,NonFight,Insufficient Persons (0 < 2)
video_027_NonFight.avi,NonFight,Insufficient Persons (0 < 2)
video_028_NonFight.avi,NonFight,Insufficient Persons (0 < 2)
video_029_NonFight.avi,NonFight,Insufficient Persons (0 < 2)
